1,Olivia@gmail.com,Olivia,Jack,pbkdf2:sha256:260000$1E7WKKTSrYi01v45$5b8aa13e040508b0a3965eb06770f5459e062a155534aee034e79446f2fa08ca,"1 Duke Way, Durham NC 27705 ",1,Y
2,Emily@gmail.com,Emily,Oliver,pbkdf2:sha256:260000$bfF2OrGLk3rczxHk$d94597ef54b32c1db5937bd830907c7331e4bc14f2930cd919955aaeb20f0aaf,"2 Duke Way, Durham NC 27705 ",2,N
3,Isla@gmail.com,Isla,James,pbkdf2:sha256:260000$eJUlxvvThQDzEZb1$687998b9fdfb0ca9cd1f850f1ac2719503ac918cf0ae29182741eff0a6d25705,"3 Duke Way, Durham NC 27705 ",3,N
4,Sophie@gmail.com,Sophie,Charlie,pbkdf2:sha256:260000$jfzDbPrrcWU94b0c$462514726cb25937137c1bce0743d6498c33f91a9ced066d5afc48e8aa1d3422,"4 Duke Way, Durham NC 27705 ",4,N
5,Ella@gmail.com,Ella,Harris,pbkdf2:sha256:260000$rCzlc5f6XZayv4KK$8503dc6c1a9d7baccf4460ec04b67ddb4b0aff916e6d515155b27a0fd06bac64,"5 Duke Way, Durham NC 27705 ",5,Y
6,Ava@gmail.com,Ava,Lewis,pbkdf2:sha256:260000$wcHHne6PbdxgYaDX$1e70fcb8b7e0c6439000f89025e56593c7c05aabce680591656dcae0207c449e,"6 Duke Way, Durham NC 27705 ",6,Y
7,Amelia@gmail.com,Amelia,Leo,pbkdf2:sha256:260000$fgBLacqIr2829Qtn$57ddd86730f4153b8d57b1211469d764f19b93d49cd71908f227fb618bba3f50,"7 Duke Way, Durham NC 27705 ",7,N
8,Grace@gmail.com,Grace,Noah,pbkdf2:sha256:260000$1YmWwgM0vnYDVgTc$f0448cfaf8546122d4c2dcf28388a2c1ac0b5203ff3d3d6e3a709581f6ff96d8,"8 Duke Way, Durham NC 27705 ",8,N
9,Freya@gmail.com,Freya,Alfie,pbkdf2:sha256:260000$tYynQictk8m4PjZL$89e3e9bacf4043ba4349929fed9f1930326a085339b20f173adf24322de5880a,"9 Duke Way, Durham NC 27705 ",9,N
10,Charlotte@gmail.com,Charlotte,Rory,pbkdf2:sha256:260000$02EpL1u0LUEVdNJK$d8c3669a7d5f3018345b35ab9938cfc63d4654ec4b883b4560cf144a33fcc63a,"10 Duke Way, Durham NC 27705 ",10,Y
11,Jessica@gmail.com,Jessica,Alexander,pbkdf2:sha256:260000$vJL3agQ7YFLuOS5I$2d562b5dc020d44f53e14960b3a50cc85df3f37832ec3dbb84d6002a471d4170,"11 Duke Way, Durham NC 27705 ",11,Y
12,Lucy@gmail.com,Lucy,Max,pbkdf2:sha256:260000$UiBzcFjiYizas0p9$c707c010b469f254ee7422e00cde69db657502b6fbd247e205b8cbfbe98c85f0,"12 Duke Way, Durham NC 27705 ",12,N
13,Ellie@gmail.com,Ellie,Logan,pbkdf2:sha256:260000$4l8EbKV0w0kRWwIH$2b457955d2fcd069097112acd2332debf8e68a0fc92150628908c54573d82e96,"13 Duke Way, Durham NC 27705 ",13,N
14,Sophia@gmail.com,Sophia,Lucas,pbkdf2:sha256:260000$GeqCzJ2KOo9QamLP$22c235b405f6d629d6016288189ecd37100b1a78f623dcab407b9a93f117b5bd,"14 Duke Way, Durham NC 27705 ",14,N
15,Aria@gmail.com,Aria,Harry,pbkdf2:sha256:260000$3XkJCiet5KI7jOhp$1a301a506214ada3b5a828d8df103370bb1215e76cfef2dcfbf72fb3347d165f,"15 Duke Way, Durham NC 27705 ",15,Y
16,Lily@gmail.com,Lily,Theo,pbkdf2:sha256:260000$7irNI8fxRf6cIYHu$b5c2e609b648d677df790aba910db5c2efb9601273b95e7bda04584efdbe3997,"16 Duke Way, Durham NC 27705 ",16,Y
17,Harper@gmail.com,Harper,Thomas,pbkdf2:sha256:260000$cQ7TUej0fHI4Zt7p$9ef065d26c951deaee895bf5f2fe9ed4ac3ff91910e71241eff80d3a17678a2f,"17 Duke Way, Durham NC 27705 ",17,N
18,Mia@gmail.com,Mia,Brodie,pbkdf2:sha256:260000$YtWK45MK2M7xtv2X$ccd6534e9cdd60890b0555cbf8b7e9e5d4808d2df3b6bb91b542e4700eeff19b,"18 Duke Way, Durham NC 27705 ",18,N
19,Rosie@gmail.com,Rosie,Archie,pbkdf2:sha256:260000$GoA8uQshJEmRcy6r$ba4711e7a676a17df08b245535c7661816cc9c891bb42793c4b5a5aba2c66960,"19 Duke Way, Durham NC 27705 ",19,N
20,Millie@gmail.com,Millie,Jacob,pbkdf2:sha256:260000$7LfOWwPRbh0zIn3F$85e218f03db116fb020224864829d2e45200bcc3502db6c86013eca28aa1e403,"20 Duke Way, Durham NC 27705 ",20,Y
21,Evie@gmail.com,Evie,Finlay,pbkdf2:sha256:260000$Q109yNlRPpYzXPGO$b2649fe459750db08634f79abb46dae33386ba9f79f2a3edbaf5b821ba2b35d4,"21 Duke Way, Durham NC 27705 ",21,Y
22,Eilidh@gmail.com,Eilidh,Finn,pbkdf2:sha256:260000$I7kX2vRccX1TN65u$54a0b2796c2ad2cc4c47aaa8a3b90ade0e8561680f2a395213ce8e97c69caa4e,"22 Duke Way, Durham NC 27705 ",22,N
23,Ruby@gmail.com,Ruby,Daniel,pbkdf2:sha256:260000$SHugUD8hX5pZOU4w$bc9c03cb0800a0b3714880ef76ac4105f056c1eb7b483969138af6cc7718e2cb,"23 Duke Way, Durham NC 27705 ",23,N
24,Willow@gmail.com,Willow,Joshua,pbkdf2:sha256:260000$VToBNZDIm34fcRob$d09648614f53b4cd9cf004a480a6ed663fe8dbb4e6813a7fddfb85144617bb8f,"24 Duke Way, Durham NC 27705 ",24,N
25,Anna@gmail.com,Anna,Oscar,pbkdf2:sha256:260000$APPs1XIGnvrYMEpg$13543c8af7967da5fd87c48ee034ff36b5db00f0003111052aa21d81fbd75cc6,"25 Duke Way, Durham NC 27705 ",25,Y
26,Maisie@gmail.com,Maisie,Arthur,pbkdf2:sha256:260000$x93JDyI0wKucOtRN$f39e3ca4a2a118135ae7e8788ac11ca5f5c55ea965d671baef0450f4cc5c33ac,"26 Duke Way, Durham NC 27705 ",26,Y
27,Hannah@gmail.com,Hannah,Hunter,pbkdf2:sha256:260000$zpkcB8fdPYexI1ub$b73b6888656188d749d8d7547e6d7aa838241d8b458a118c1fa599605044cb5c,"27 Duke Way, Durham NC 27705 ",27,N
